,PTS,2PA,3PA,FTA,TPA
0,8573,6952,75,2645,9672
1,9303,6965,422,2449,9836
2,8813,6668,275,2592,9535
3,9360,7854,187,2205,10246
4,8878,7215,255,2539,10009
5,8933,7377,219,2149,9745
6,8493,7197,121,1914,9232
7,9084,7117,379,2326,9822
8,9119,7375,314,2333,10022
9,8860,7375,114,2250,9739
10,9438,7268,100,2092,9460
11,9025,7398,155,2102,9655
12,8879,7206,298,2406,9910
13,9344,7481,191,2274,9946
14,8949,7031,125,2431,9587
15,9114,6955,280,2466,9701
16,8402,7035,132,2100,9267
17,9788,7532,206,2528,10266
18,8820,6951,543,2167,9661
19,8897,7376,189,2253,9818
20,8394,6632,185,1943,8760
21,8773,7558,238,2048,9844
22,8604,6784,82,2590,9456
23,9008,6858,241,2369,9468
24,8937,6724,179,2563,9466
25,8670,7360,249,1909,9518
26,8322,6763,165,2487,9415
27,9986,7815,145,3051,11011
28,8174,6902,84,2330,9316
29,9006,7074,210,2513,9797
30,8878,7217,118,2223,9558
31,8827,7076,169,2540,9785
32,8769,6983,168,2206,9357
33,9117,7288,94,2113,9495
34,9276,7341,131,2340,9812
35,8768,7176,138,2371,9685
36,8849,7019,236,2386,9641
37,9156,6989,84,2427,9500
38,9019,7165,161,2430,9756
39,9080,7387,148,2191,9726
40,9209,7191,85,2668,9944
41,8737,6876,407,2246,9529
42,8531,7028,117,2376,9521
43,8301,6662,163,2080,8905
44,8662,7276,241,2072,9589
45,8281,6648,128,2387,9163
46,9180,7150,184,2457,9791
47,8743,6515,213,2545,9273
48,8463,7197,137,2179,9513
49,8575,7034,190,2366,9590
50,10371,7507,149,2978,10634
51,9112,7178,213,2581,9972
52,9092,7024,325,2382,9731
53,8680,7190,176,2225,9591
54,8379,6848,316,2176,9340
55,8785,7154,130,2158,9442
56,9400,7491,94,2161,9746
57,8890,6851,164,2329,9344
58,8746,7081,146,2354,9581
59,8707,6964,214,2171,9349
60,9119,6835,139,2471,9445
61,8705,6966,174,2157,9297
62,9006,7047,140,2387,9574
63,9272,7361,252,2335,9948
64,8896,6763,338,2341,9442
65,8795,7025,153,2362,9540
66,9094,7349,97,2282,9728
67,8485,6932,236,2105,9273
68,8335,6958,188,2111,9257
69,9191,7361,186,2348,9895
70,9102,7164,209,2690,10063
71,7964,6875,120,1983,8978
72,9243,7365,185,2462,10012
73,10105,7873,126,2696,10695
74,9239,7330,272,2588,10190
75,8908,7358,150,2199,9707
76,8145,7175,271,1934,9380
77,8911,7487,236,1910,9633
78,9328,7270,215,2530,10015
79,9433,7416,96,2031,9543
80,8740,6964,169,2299,9432
81,8672,6991,149,2301,9441
82,8198,6662,131,2282,9075
83,9191,7103,109,2650,9862
84,8776,7000,158,2189,9347
85,8808,6974,150,2512,9636
86,9375,7032,308,2468,9808
87,8903,7372,262,2195,9829
88,9019,7139,138,2459,9736
89,8938,7159,183,2440,9782
90,8134,6822,237,2059,9118
91,8321,6703,106,2414,9223
92,9194,7006,229,2407,9642
93,8501,6855,117,2508,9480
94,8386,7068,164,2178,9410
95,9052,7051,184,2350,9585
96,10147,7728,255,2690,10673
97,9602,7769,141,2547,10457
98,9008,7308,226,2577,10111
99,9071,7379,154,2139,9672
100,8566,6923,207,2119,9249
101,9023,7041,189,2495,9725
102,9478,7024,226,2272,9522
103,8666,6738,232,2354,9324
104,9019,7026,232,2488,9746
105,8763,6672,165,2510,9347
106,8838,6726,107,2706,9539
107,9101,6929,291,2204,9424
108,9277,7060,129,2637,9826
109,9862,7458,263,2604,10325
110,9077,7197,128,2424,9749
