PTS,2PA,3PA,FTA
8573,6952,75,2645
9303,6965,422,2449
8813,6668,275,2592
9360,7854,187,2205
8878,7215,255,2539
8933,7377,219,2149
8493,7197,121,1914
9084,7117,379,2326
9119,7375,314,2333
8860,7375,114,2250
9438,7268,100,2092
9025,7398,155,2102
8879,7206,298,2406
9344,7481,191,2274
8949,7031,125,2431
9114,6955,280,2466
8402,7035,132,2100
9788,7532,206,2528
8820,6951,543,2167
8897,7376,189,2253
8394,6632,185,1943
8773,7558,238,2048
8604,6784,82,2590
9008,6858,241,2369
8937,6724,179,2563
8670,7360,249,1909
8322,6763,165,2487
9986,7815,145,3051
8174,6902,84,2330
9006,7074,210,2513
8878,7217,118,2223
8827,7076,169,2540
8769,6983,168,2206
9117,7288,94,2113
9276,7341,131,2340
8768,7176,138,2371
8849,7019,236,2386
9156,6989,84,2427
9019,7165,161,2430
9080,7387,148,2191
9209,7191,85,2668
8737,6876,407,2246
8531,7028,117,2376
8301,6662,163,2080
8662,7276,241,2072
8281,6648,128,2387
9180,7150,184,2457
8743,6515,213,2545
8463,7197,137,2179
8575,7034,190,2366
10371,7507,149,2978
9112,7178,213,2581
9092,7024,325,2382
8680,7190,176,2225
8379,6848,316,2176
8785,7154,130,2158
9400,7491,94,2161
8890,6851,164,2329
8746,7081,146,2354
8707,6964,214,2171
9119,6835,139,2471
8705,6966,174,2157
9006,7047,140,2387
9272,7361,252,2335
8896,6763,338,2341
8795,7025,153,2362
9094,7349,97,2282
8485,6932,236,2105
8335,6958,188,2111
9191,7361,186,2348
9102,7164,209,2690
7964,6875,120,1983
9243,7365,185,2462
10105,7873,126,2696
9239,7330,272,2588
8908,7358,150,2199
8145,7175,271,1934
8911,7487,236,1910
9328,7270,215,2530
9433,7416,96,2031
8740,6964,169,2299
8672,6991,149,2301
8198,6662,131,2282
9191,7103,109,2650
8776,7000,158,2189
8808,6974,150,2512
9375,7032,308,2468
8903,7372,262,2195
9019,7139,138,2459
8938,7159,183,2440
8134,6822,237,2059
8321,6703,106,2414
9194,7006,229,2407
8501,6855,117,2508
8386,7068,164,2178
9052,7051,184,2350
10147,7728,255,2690
9602,7769,141,2547
9008,7308,226,2577
9071,7379,154,2139
8566,6923,207,2119
9023,7041,189,2495
9478,7024,226,2272
8666,6738,232,2354
9019,7026,232,2488
8763,6672,165,2510
8838,6726,107,2706
9101,6929,291,2204
9277,7060,129,2637
9862,7458,263,2604
9077,7197,128,2424
8865,6943,140,2460
9428,6925,317,2708
8423,6625,282,2201
8743,6884,235,2371
9412,7016,309,2307
8916,6748,161,2526
8903,7029,335,2491
9116,6837,443,2324
9841,7741,235,2568
9508,7800,199,2262
9052,7158,397,2531
9118,7254,186,2261
8879,7169,155,2516
9413,7037,238,2595
8784,6931,188,2208
9696,6959,295,2232
9090,6962,294,2473
8975,7221,224,2237
8627,6903,198,2350
9261,6768,224,2883
8858,6837,307,2280
9469,7172,202,2667
9412,7000,202,2571
8376,6725,185,2305
8937,6995,307,2434
8655,6985,398,1989
8906,6863,166,2704
9359,6919,393,2248
8962,6910,317,2499
8836,6848,391,2325
9453,6808,446,2643
9410,7563,305,2416
9363,7568,182,2300
9299,7289,278,2517
9379,7361,310,2434
8519,7007,143,2183
8907,6936,229,2683
9618,6934,409,2329
9390,6928,382,2701
8949,7087,214,2396
8094,6795,239,2237
9051,6834,224,2810
9023,6810,183,2683
9436,7006,275,2799
8924,7086,134,2338
9120,6908,196,2523
8564,6759,300,2331
8871,6914,169,2694
8442,6740,408,2286
9024,6716,425,2661
9237,6486,565,2153
8596,6856,299,2254
8558,6784,338,2554
9567,6720,653,2717
9569,7560,391,2568
9118,7068,169,2602
9188,7048,364,2526
8765,6938,324,2355
8698,7008,316,2170
8566,6984,348,2515
9656,6798,447,2550
9052,6710,572,2549
8893,6634,449,2607
8508,6648,375,2362
8729,6452,340,2617
9111,6938,252,2499
9667,6910,339,2928
9095,7106,307,2479
8882,7053,403,2292
9325,6880,571,2571
8844,7066,448,2389
8690,7179,218,2531
8844,6820,282,2441
9315,6200,705,2300
8609,6772,243,2221
8566,6419,336,2438
8960,6665,526,2510
9573,7399,562,2289
8957,6816,202,2612
8771,7092,312,2204
8935,7063,291,2483
8581,6669,485,1982
8103,6877,317,2305
9250,6600,478,2480
8697,6669,410,2364
8235,6402,455,2308
8655,6665,567,2306
8667,6314,471,2731
8901,6945,357,2200
9518,7080,380,2701
8855,6887,450,2324
9314,7147,412,2412
9135,6805,638,2442
8899,6688,404,2404
8653,7026,138,2476
9102,6833,397,2709
8958,6834,309,2349
8566,7000,430,2060
8726,6438,530,2106
8923,6430,474,2438
8484,6236,681,2263
9675,7464,676,2314
8740,6479,400,2379
9558,7348,629,2384
8897,6673,523,2527
8767,6330,615,2275
8712,7194,234,2220
9406,6476,667,2508
8016,6818,298,2103
8932,6600,567,2382
8506,6658,568,2260
9567,6464,1147,2366
9174,6555,646,2504
9727,7064,481,2594
9395,7150,645,2416
8651,6527,824,2104
8652,7116,293,2367
9196,6704,774,2379
8588,6215,380,2742
8879,7348,243,2318
8901,6608,411,2544
9023,6744,404,2153
8232,6572,611,1967
8977,6421,669,2140
8411,6126,851,2201
8384,6345,486,2261
9397,7338,677,2201
8556,6439,541,2252
9534,6458,750,2858
8752,6759,491,2267
8962,6037,770,2335
8509,6623,230,2458
9079,6169,841,2417
8247,7045,300,2028
8691,6476,670,2273
7803,6582,294,2137
8208,6909,506,2350
8879,6379,710,2349
9090,7132,393,2725
9039,6485,543,2509
9423,6596,543,2716
9365,6982,565,2734
8341,6407,649,1964
8718,6771,226,2535
8769,6593,650,2167
8760,5963,630,2484
8832,7384,197,2093
9003,6387,836,2544
9145,6868,346,1997
8428,6616,417,2214
9024,6701,424,2111
8343,6378,479,2176
8195,6290,600,1986
9828,7809,1059,2263
8205,6435,440,2211
9564,6545,801,2761
8753,6298,989,2200
9159,6245,749,2479
8491,6881,434,2273
8717,6167,744,2261
8349,6675,464,2307
8727,6195,753,2241
8169,6895,381,2082
8441,6873,586,2245
8455,6264,558,2147
8684,6502,754,2447
8641,6307,618,2366
9348,6767,432,2680
9407,6465,904,2538
7928,6240,578,2105
8782,6691,297,2459
8744,6690,427,2143
8527,6079,458,2472
8313,6984,284,2028
8711,6805,671,2074
8745,6837,359,1917
8980,7199,369,2168
9011,6714,454,2132
8926,6317,708,2259
8007,6307,797,1999
8176,6962,418,2067
8113,6341,526,2108
9732,6664,763,2606
8366,5935,959,2020
9197,6139,940,2364
8440,6574,502,2223
8229,6532,445,2278
8608,6310,751,2329
8609,6211,1005,2104
8237,6948,394,1857
8641,6910,670,2009
8328,6329,618,2049
8330,6494,608,2268
8358,6081,680,2267
9194,6623,596,2397
9135,6408,944,2463
8549,6514,675,2162
8524,6686,404,2246
8737,6481,647,2263
8877,6408,458,2490
8395,6764,537,1956
8814,6196,1076,2221
8502,6710,383,1912
9030,6673,537,2374
8625,6536,669,1952
8832,6145,742,2119
8141,6434,837,2171
